 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
*************************************************************************************************************************************************************************************
$$SOE
 1990-Dec-19 20:00, , , 06 09 07.65, +25 22 49.1,     n.a.,   n.a.,  1.45007496176777, 18.3318848,  177.1172,/T,    0.0036,   1.4894314,  97.065445,  35.075937,        n.a.     n.a.
 1990-Dec-20 20:00, , , 06 11 44.90, +25 22 06.5,     n.a.,   n.a.,  1.46081135776864, 18.8461891,  163.5210,/T,    0.0459,   1.4722456,  97.039561,  35.939996,        n.a.     n.a.
 1990-Dec-21 20:00, , , 06 14 20.61, +25 21 15.5,     n.a.,   n.a.,  1.47183648263545, 19.3277152,  149.9186,/T,    0.0849,   1.4610682,  96.981906,  36.632347,        n.a.     n.a.
 1990-Dec-22 20:00, , , 06 16 55.39, +25 20 17.2,     n.a.,   n.a.,  1.48312454140594, 19.7530808,  136.3129,/T,    0.1183,   1.4551867,  96.896748,  37.131897,        n.a.     n.a.
 1990-Dec-23 20:00, , , 06 19 29.74, +25 19 12.4,     n.a.,   n.a.,  1.49463703513262, 20.1018799,  122.7060,/T,    0.1443,   1.4536204,  96.790397,  37.431447,        n.a.     n.a.
 1990-Dec-24 20:00, , , 06 22 04.07, +25 18 01.5,     n.a.,   n.a.,  1.50632482673345, 20.3578800,  109.0994,/T,    0.1616,   1.4551813,  96.670420,  37.536337,        n.a.     n.a.
 1990-Dec-25 20:00, , , 06 24 38.63, +25 16 44.8,     n.a.,   n.a.,  1.51813083074039, 20.5098434,   95.4941,/T,    0.1694,   1.4585465,  96.544840,  37.462152,        n.a.     n.a.
 1990-Dec-26 20:00, , , 06 27 13.54, +25 15 22.3,     n.a.,   n.a.,  1.52999309785058, 20.5523162,   81.8905,/T,    0.1675,   1.4623415,  96.421366,  37.232249,        n.a.     n.a.
 1990-Dec-27 20:00, , , 06 29 48.76, +25 13 53.5,     n.a.,   n.a.,  1.54184825525397, 20.4858186,   68.2889,/T,    0.1559,   1.4651988,  96.306964,  36.876447,        n.a.     n.a.
 1990-Dec-28 20:00, , , 06 32 24.13, +25 12 18.3,     n.a.,   n.a.,  1.55363496118267, 20.3168291,   54.6889,/T,    0.1355,   1.4658598,  96.207434,  36.427757,        n.a.     n.a.
 1990-Dec-29 20:00, , , 06 34 59.34, +25 10 36.0,     n.a.,   n.a.,  1.56529726406670, 20.0574775,   41.0898,/T,    0.1075,   1.4632243,  96.127350,  35.921960,        n.a.     n.a.
 1990-Dec-30 20:00, , , 06 37 34.00, +25 08 46.2,     n.a.,   n.a.,  1.57678764622736, 19.7246174,   27.4917,/T,    0.0736,   1.4564092,  96.070064,  35.395989,        n.a.     n.a.
 1990-Dec-31 20:00, , , 06 40 07.60, +25 06 48.5,     n.a.,   n.a.,  1.58806955313353, 19.3392761,   13.9009,/T,    0.0359,   1.4447916,  96.037758,  34.887617,        n.a.     n.a.
 1991-Jan-01 20:00, , , 06 42 39.63, +25 04 42.5,     n.a.,   n.a.,  1.59911956968725, 18.9252521,    0.9827,/T,    0.0043,   1.4280362,  96.031546,  34.434380,        n.a.     n.a.
 1991-Jan-02 20:00, , , 06 45 09.52, +25 02 28.3,     n.a.,   n.a.,  1.60992815645077, 18.5079041,   13.3976,/L,    0.0429,   1.4061098,  96.051540,  34.072874,        n.a.     n.a.
 1991-Jan-03 20:00, , , 06 47 36.72, +25 00 05.7,     n.a.,   n.a.,  1.62050091359547, 18.1127408,   27.0101,/L,    0.0793,   1.3792782,  96.096865,  33.837665,        n.a.     n.a.
 1991-Jan-04 20:00, , , 06 50 00.75, +24 57 35.0,     n.a.,   n.a.,  1.63085775636160, 17.7640401,   40.6453,/L,    0.1112,   1.3480907,  96.165633,  33.759852,        n.a.     n.a.
 1991-Jan-05 20:00, , , 06 52 21.17, +24 54 56.6,     n.a.,   n.a.,  1.64103193681018, 17.4834944,   54.2961,/L,    0.1366,   1.3133494,  96.254857,  33.865081,        n.a.     n.a.
 1991-Jan-06 20:00, , , 06 54 37.66, +24 52 11.1,     n.a.,   n.a.,  1.65106818841659, 17.2889819,   67.9622,/L,    0.1544,   1.2760659,  96.360353,  34.171041,        n.a.     n.a.
 1991-Jan-07 20:00, , , 06 56 50.01, +24 49 19.2,     n.a.,   n.a.,  1.66102021235960, 17.1935265,   81.6436,/L,    0.1635,   1.2374060,  96.476642,  34.684597,        n.a.     n.a.
 1991-Jan-08 20:00, , , 06 58 58.14, +24 46 21.8,     n.a.,   n.a.,  1.67094763291404, 17.2045093,   95.3404,/L,    0.1633,   1.1986294,  96.596934,  35.398742,        n.a.     n.a.
 1991-Jan-09 20:00, , , 07 01 02.11, +24 43 19.6,     n.a.,   n.a.,  1.68091157223258, 17.3232343,  109.0514,/L,    0.1543,   1.1610057,  96.713304,  36.291518,        n.a.     n.a.
 1991-Jan-10 20:00, , , 07 03 02.12, +24 40 13.5,     n.a.,   n.a.,  1.69097512540142, 17.5445846,  122.7755,/L,    0.1370,   1.1257616,  96.816997,  37.323694,        n.a.     n.a.
 1991-Jan-11 20:00, , , 07 04 58.48, +24 37 04.2,     n.a.,   n.a.,  1.70119363558142, 17.8575510,  136.5099,/L,    0.1124,   1.0939976,  96.899097,  38.442118,        n.a.     n.a.
 1991-Jan-12 20:00, , , 07 06 51.61, +24 33 52.5,     n.a.,   n.a.,  1.71161548532027, 18.2456137,  150.2490,/L,    0.0819,   1.0666252,  96.951432,  39.583512,        n.a.     n.a.
 1991-Jan-13 20:00, , , 07 08 42.04, +24 30 38.9,     n.a.,   n.a.,  1.72227815519442, 18.6877171,  163.9722,/L,    0.0475,   1.0443131,  96.967630,  40.681028,        n.a.     n.a.
 1991-Jan-14 20:00, , , 07 10 30.31, +24 27 23.8,     n.a.,   n.a.,  1.73320594176218, 19.1594811,  177.2606,/L,    0.0118,   1.0274483,  96.944124,  41.671555,        n.a.     n.a.
 1991-Jan-15 20:00, , , 07 12 17.03, +24 24 07.4,     n.a.,   n.a.,  1.74440844080909, 19.6346264,  168.2723,/T,    0.0263,   1.0161130,  96.880850,  42.502250,        n.a.     n.a.
 1991-Jan-16 20:00, , , 07 14 02.77, +24 20 49.9,     n.a.,   n.a.,  1.75587989496858, 20.0865261,  154.5574,/T,    0.0603,   1.0100821,  96.781411,  43.135027,        n.a.     n.a.
 1991-Jan-17 20:00, , , 07 15 48.07, +24 17 31.1,     n.a.,   n.a.,  1.76759944991137, 20.4897841,  140.7961,/T,    0.0904,   1.0088391,  96.652651,  43.548460,        n.a.     n.a.
 1991-Jan-18 20:00, , , 07 17 33.39, +24 14 10.7,     n.a.,   n.a.,  1.77953230490388, 20.8217374,  127.0255,/T,    0.1147,   1.0116096,  96.503713,  43.737318,        n.a.     n.a.
 1991-Jan-19 20:00, , , 07 19 19.12, +24 10 48.6,     n.a.,   n.a.,  1.79163168645647, 21.0637892,  113.2536,/T,    0.1319,   1.0174113,  96.344849,  43.710480,        n.a.     n.a.
 1991-Jan-20 20:00, , , 07 21 05.50, +24 07 24.1,     n.a.,   n.a.,  1.80384152258972, 21.2024902,   99.4834,/T,    0.1411,   1.0251149,  96.186243,  43.488080,        n.a.     n.a.
 1991-Jan-21 20:00, , , 07 22 52.68, +24 03 57.0,     n.a.,   n.a.,  1.81609965367626, 21.2303068,   85.7164,/T,    0.1422,   1.0335170,  96.037078,  43.098311,        n.a.     n.a.
